merchant_id,business_type,category,name_mismatch_details,action,decision_reason,action_detail,estimated_monthly_gmv,processed_at
mer_0001,wellness,category_risk_flag,,escalate_manual_review,high-risk category always requires a human,SIMULATED: created manual review task for compliance team,249865.59,2026-08-29 16:50:55
mer_0002,wellness,document_quality_issue,,request_document_reupload,category=document_quality_issue,SIMULATED: sent document re-upload request,1317274.65,2026-08-29 16:50:55
mer_0003,food_delivery,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",353185.02,2026-08-29 16:50:55
mer_0004,wellness,missing_international_enablement,,suggest_enable_international,category=missing_international_enablement,SIMULATED: flagged merchant as eligible for international module,945878.52,2026-08-29 16:50:55
mer_0005,retail,name_mismatch,PAN ('Vertex Apparel & Co') vs GST ('VAC & Co') -- similarity 0.43; GST ('VAC & Co') vs Bank ('Vertex Apparel & Co') -- similarity 0.43,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update your GST document so its name matches your PAN card. Standardize your business name to ""Vertex Apparel & Co"" across all your documents.",1423915.08,2026-08-29 16:51:13
mer_0006,logistics,name_mismatch,PAN ('Bluepeak Retail Private Limited') vs GST ('BRPL LLP') -- similarity 0.21; GST ('BRPL LLP') vs Bank ('Bluepeak Retail Private Limited') -- similarity 0.32,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update your GST document to match your official PAN card name. Standardize all your business details to ""Bluepeak Retail Private Limited"" so we can complete your verification.",1289584.67,2026-08-29 16:51:32
mer_0007,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1471797.26,2026-08-29 16:51:32
mer_0008,electronics,document_quality_issue,,request_document_reupload,category=document_quality_issue,SIMULATED: sent document re-upload request,112595.48,2026-08-29 16:51:32
mer_0009,wellness,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",944761.11,2026-08-29 16:51:32
mer_0010,food_delivery,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",477675.48,2026-08-29 16:51:32
mer_0011,logistics,incomplete_profile,,request_missing_fields,category=incomplete_profile,SIMULATED: sent request for missing profile fields,794157.61,2026-08-29 16:51:32
mer_0012,e-commerce,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",622325.25,2026-08-29 16:51:32
mer_0013,electronics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1295951.51,2026-08-29 16:51:32
mer_0014,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",87979.65,2026-08-29 16:51:32
mer_0015,wellness,name_mismatch,PAN ('Greenline Logistics & Co') vs GST ('Greenline') -- similarity 0.58; GST ('Greenline') vs Bank ('Greenline Logistics & Co') -- similarity 0.58,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update the business name on your GST certificate to match your PAN card. You must standardize your business name across all documents to ""Greenline Logistics & Co"".",997681.4,2026-08-29 16:51:52
mer_0016,food_delivery,name_mismatch,PAN ('Nimbus Foods Enterprises') vs GST ('Nimbus') -- similarity 0.67; GST ('Nimbus') vs Bank ('Nimbus Foods Enterprises') -- similarity 0.67,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update your GST certificate so it matches the official business name on your PAN card. Standardize all your business documents under the name ""Nimbus Foods Enterprises"".",1078963.89,2026-08-29 16:52:11
mer_0017,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1804247.47,2026-08-29 16:52:11
mer_0018,e-commerce,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1430289.85,2026-08-29 16:52:11
mer_0019,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",308008.11,2026-08-29 16:52:11
mer_0020,e-commerce,name_mismatch,PAN ('Greenline Logistics Enterprises') vs GST ('Greenline') -- similarity 0.64; GST ('Greenline') vs Bank ('Greenline Logistics Enterprises') -- similarity 0.64,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update your GST document to match your PAN card name, ""Greenline Logistics Enterprises"". Use this exact full name across all your business documents to complete your verification.",239015.09,2026-08-29 16:52:30
mer_0021,wellness,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",711640.08,2026-08-29 16:52:30
mer_0022,electronics,incomplete_profile,,request_missing_fields,category=incomplete_profile,SIMULATED: sent request for missing profile fields,1850367.92,2026-08-29 16:52:30
mer_0023,electronics,name_mismatch,PAN ('Amber Organics & Co') vs GST ('Amber') -- similarity 0.45; GST ('Amber') vs Bank ('Amber Organics & Co') -- similarity 0.45,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update the business name on your GST document to match your PAN card. Standardize all your KYC records to use ""Amber Organics & Co"" as your official business name.",1704956.68,2026-08-29 16:52:51
mer_0024,electronics,incomplete_profile,,request_missing_fields,category=incomplete_profile,SIMULATED: sent request for missing profile fields,1581002.25,2026-08-29 16:52:51
mer_0025,wellness,document_quality_issue,,request_document_reupload,category=document_quality_issue,SIMULATED: sent document re-upload request,661529.38,2026-08-29 16:52:51
mer_0026,electronics,name_mismatch,PAN ('Nimbus Foods Pvt Ltd') vs GST ('Nimbus') -- similarity 0.67; GST ('Nimbus') vs Bank ('Nimbus Foods Pvt Ltd') -- similarity 0.67,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update your GST document so the business name matches your PAN card. Standardize your name as ""Nimbus Foods Pvt Ltd"" across all your documents.",412358.67,2026-08-29 16:53:12
mer_0027,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1209312.35,2026-08-29 16:53:12
mer_0028,food_delivery,missing_international_enablement,,suggest_enable_international,category=missing_international_enablement,SIMULATED: flagged merchant as eligible for international module,821782.4,2026-08-29 16:53:12
mer_0029,e-commerce,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1098387.09,2026-08-29 16:53:12
mer_0030,wellness,missing_international_enablement,,suggest_enable_international,category=missing_international_enablement,SIMULATED: flagged merchant as eligible for international module,1643353.06,2026-08-29 16:53:12
mer_0031,retail,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",581079.01,2026-08-29 16:53:12
mer_0032,e-commerce,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1286854.67,2026-08-29 16:53:12
mer_0033,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",68855.91,2026-08-29 16:53:12
mer_0034,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",298518.76,2026-08-29 16:53:12
mer_0035,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1511481.34,2026-08-29 16:53:12
mer_0036,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1614358.52,2026-08-29 16:53:12
mer_0037,retail,incomplete_profile,,request_missing_fields,category=incomplete_profile,SIMULATED: sent request for missing profile fields,1642343.88,2026-08-29 16:53:12
mer_0038,electronics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",185370.47,2026-08-29 16:53:12
mer_0039,education,missing_international_enablement,,suggest_enable_international,category=missing_international_enablement,SIMULATED: flagged merchant as eligible for international module,1926941.92,2026-08-29 16:53:12
mer_0040,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",420653.61,2026-08-29 16:53:12
mer_0041,wellness,missing_international_enablement,,suggest_enable_international,category=missing_international_enablement,SIMULATED: flagged merchant as eligible for international module,1703629.8,2026-08-29 16:53:12
mer_0042,retail,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",869870.35,2026-08-29 16:53:12
mer_0043,food_delivery,clean_ok,,no_action,already approved -- never re-process approved merchants,n/a,459856.24,2026-08-29 16:53:12
mer_0044,wellness,incomplete_profile,,request_missing_fields,category=incomplete_profile,SIMULATED: sent request for missing profile fields,215351.3,2026-08-29 16:53:12
mer_0045,e-commerce,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",140116.75,2026-08-29 16:53:12
mer_0046,wellness,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1407890.79,2026-08-29 16:53:12
mer_0047,electronics,name_mismatch,PAN ('Kite Studio Pvt Ltd') vs GST ('Kite') -- similarity 0.53; GST ('Kite') vs Bank ('Kite Studio Pvt Ltd') -- similarity 0.53,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update your GST certificate so it matches the business name on your PAN card. Standardize all your documents to the official name, ""Kite Studio Pvt Ltd.""",879035.08,2026-08-29 16:53:30
mer_0048,electronics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",956054.31,2026-08-29 16:53:30
mer_0049,electronics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1818366.72,2026-08-29 16:53:30
mer_0050,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1272159.45,2026-08-29 16:53:30
mer_0051,retail,clean_ok,,no_action,already approved -- never re-process approved merchants,n/a,500959.89,2026-08-29 16:53:30
mer_0052,electronics,clean_ok,,no_action,already approved -- never re-process approved merchants,n/a,869279.86,2026-08-29 16:53:30
mer_0053,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1714223.5,2026-08-29 16:53:30
mer_0054,food_delivery,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",899880.15,2026-08-29 16:53:30
mer_0055,education,name_mismatch,PAN ('Ashoka Electronics Private Limited') vs GST ('Ashoka') -- similarity 0.50; GST ('Ashoka') vs Bank ('Ashoka Electronics Private Limited') -- similarity 0.50,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update the business name on your GST certificate to match your official PAN card. Standardize your business name as ""Ashoka Electronics Private Limited"" across all your documents.",1091541.08,2026-08-29 16:53:48
mer_0056,e-commerce,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",557304.81,2026-08-29 16:53:48
mer_0057,e-commerce,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",967098.33,2026-08-29 16:53:48
mer_0058,retail,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1686496.25,2026-08-29 16:53:48
mer_0059,food_delivery,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1545451.29,2026-08-29 16:53:48
mer_0060,education,name_mismatch,PAN ('Bluepeak Retail Private Limited') vs GST ('Bluepeak') -- similarity 0.70; GST ('Bluepeak') vs Bank ('Bluepeak Retail Private Limited') -- similarity 0.70,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update your GST document to match your official PAN name, ""Bluepeak Retail Private Limited"". All your documents must use this exact full name to complete your verification.",100072.93,2026-08-29 16:54:08
mer_0061,e-commerce,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1409526.35,2026-08-29 16:54:08
mer_0062,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1312709.35,2026-08-29 16:54:08
mer_0063,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1429251.86,2026-08-29 16:54:08
mer_0064,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",899370.26,2026-08-29 16:54:08
mer_0065,electronics,name_mismatch,PAN ('Bluepeak Retail LLP') vs GST ('Bluepeak') -- similarity 0.70; GST ('Bluepeak') vs Bank ('Bluepeak Retail LLP') -- similarity 0.70,send_name_fix_instructions,category=name_mismatch,FIX MESSAGE: Please update the name on your GST document to match your official PAN. Standardize your business name as **Bluepeak Retail LLP** across all your documents.,956181.51,2026-08-29 16:57:15
mer_0066,food_delivery,missing_international_enablement,,suggest_enable_international,category=missing_international_enablement,SIMULATED: flagged merchant as eligible for international module,1766623.96,2026-08-29 16:57:15
mer_0067,electronics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",518631.68,2026-08-29 16:57:15
mer_0068,wellness,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1184033.39,2026-08-29 16:57:15
mer_0069,food_delivery,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",499549.18,2026-08-29 16:57:15
mer_0070,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1954383.69,2026-08-29 16:57:15
mer_0071,e-commerce,category_risk_flag,,escalate_manual_review,high-risk category always requires a human,SIMULATED: created manual review task for compliance team,1949875.12,2026-08-29 16:57:15
mer_0072,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",983492.71,2026-08-29 16:57:15
mer_0073,retail,document_quality_issue,,request_document_reupload,category=document_quality_issue,SIMULATED: sent document re-upload request,1631727.05,2026-08-29 16:57:15
mer_0074,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",791737.15,2026-08-29 16:57:15
mer_0075,electronics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",455186.42,2026-08-29 16:57:15
mer_0076,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1394273.71,2026-08-29 16:57:15
mer_0077,retail,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1851626.54,2026-08-29 16:57:15
mer_0078,electronics,category_risk_flag,,escalate_manual_review,high-risk category always requires a human,SIMULATED: created manual review task for compliance team,327360.76,2026-08-29 16:57:15
mer_0079,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1888218.67,2026-08-29 16:57:15
mer_0080,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",538217.41,2026-08-29 16:57:15
