merchant_id,business_type,pan_name,gst_name,bank_account_name,other_note,estimated_monthly_gmv,international_enabled,retry_count,status,timestamp
mer_0001,wellness,Amber Organics Pvt Ltd,Amber Organics Pvt Ltd,Amber Organics Pvt Ltd,"business category flagged high-risk, needs manual review",249865.59,False,1,pending,2026-08-27 21:57:33
mer_0002,wellness,Ashoka Electronics Pvt Ltd,Ashoka Electronics Pvt Ltd,Ashoka Electronics Pvt Ltd,"uploaded GST certificate is blurry, unreadable",1317274.65,False,0,pending,2026-08-21 21:57:33
mer_0003,food_delivery,Vertex Apparel Pvt Ltd,Vertex Apparel Private Limited,Vertex Apparel LLP,,353185.02,False,0,pending,2026-08-28 13:57:33
mer_0004,wellness,Ashoka Electronics Pvt Ltd,Ashoka Electronics Pvt Ltd,Ashoka Electronics Pvt Ltd,"merchant wants to accept international cards, module not enabled",945878.52,True,1,pending,2026-08-27 22:57:33
mer_0005,retail,Vertex Apparel & Co,VAC & Co,Vertex Apparel & Co,,1423915.08,True,0,pending,2026-08-17 06:57:33
mer_0006,logistics,Bluepeak Retail Private Limited,BRPL LLP,Bluepeak Retail Private Limited,,1289584.67,False,0,pending,2026-08-24 09:57:33
mer_0007,education,Amber Organics LLP,Amber Organics LLP,Amber Organics LLP,,1471797.26,True,1,pending,2026-08-24 19:57:33
mer_0008,electronics,Kite Studio & Co,Kite Studio & Co,Kite Studio & Co,"uploaded GST certificate is blurry, unreadable",112595.48,False,0,pending,2026-08-28 09:57:33
mer_0009,wellness,Silverline Textiles LLP,Silverline Textiles LLP,Silverline Textiles LLP,,944761.11,False,0,pending,2026-08-17 22:57:33
mer_0010,food_delivery,Orbit Fitness LLP,Orbit Fitness LLP,Orbit Fitness LLP,,477675.48,False,1,pending,2026-08-22 13:57:33
mer_0011,logistics,Sunrise Traders Pvt Ltd,Sunrise Traders Pvt Ltd,Sunrise Traders Pvt Ltd,bank account not linked yet,794157.61,False,1,pending,2026-08-24 22:57:33
mer_0012,e-commerce,Sunrise Traders Pvt Ltd,Sunrise Traders & Co,Sunrise Traders LLP,,622325.25,True,0,pending,2026-08-17 16:57:33
