merchant_id,business_type,category,name_mismatch_details,action,decision_reason,action_detail,estimated_monthly_gmv,verification_result,processed_at
mer_0001,wellness,category_risk_flag,,escalate_manual_review,high-risk category always requires a human,SIMULATED: created manual review task for compliance team,249865.59,n/a,2026-09-01 00:10:43
mer_0002,wellness,document_quality_issue,,request_document_reupload,category=document_quality_issue,SIMULATED: sent document re-upload request,1317274.65,n/a,2026-09-01 00:10:43
mer_0003,food_delivery,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",353185.02,n/a,2026-09-01 00:10:43
mer_0004,wellness,missing_international_enablement,,suggest_enable_international,category=missing_international_enablement,SIMULATED: flagged merchant as eligible for international module,945878.52,n/a,2026-09-01 00:10:43
mer_0005,retail,name_mismatch,PAN ('Vertex Apparel & Co') vs GST ('VAC & Co') -- similarity 0.43; GST ('VAC & Co') vs Bank ('Vertex Apparel & Co') -- similarity 0.43,send_name_fix_instructions,category=name_mismatch,FIX MESSAGE: Please update the business name on your GST certificate to match your official PAN card. All your documents must consistently use the name **Vertex Apparel & Co**.,1423915.08,no_response,2026-09-01 00:11:15
mer_0006,logistics,name_mismatch,PAN ('Bluepeak Retail Private Limited') vs GST ('BRPL LLP') -- similarity 0.21; GST ('BRPL LLP') vs Bank ('Bluepeak Retail Private Limited') -- similarity 0.32,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update your GST certificate to fix the business name mismatch. All your KYC documents must match the official name on your PAN, ""Bluepeak Retail Private Limited"".",1289584.67,resolved,2026-09-01 00:11:38
mer_0007,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1471797.26,n/a,2026-09-01 00:11:38
mer_0008,electronics,document_quality_issue,,request_document_reupload,category=document_quality_issue,SIMULATED: sent document re-upload request,112595.48,n/a,2026-09-01 00:11:38
mer_0009,wellness,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",944761.11,n/a,2026-09-01 00:11:38
mer_0010,food_delivery,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",477675.48,n/a,2026-09-01 00:11:38
mer_0011,logistics,incomplete_profile,,request_missing_fields,category=incomplete_profile,SIMULATED: sent request for missing profile fields,794157.61,n/a,2026-09-01 00:11:38
mer_0012,e-commerce,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",622325.25,n/a,2026-09-01 00:11:38
mer_0013,electronics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1295951.51,n/a,2026-09-01 00:11:38
mer_0014,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",87979.65,n/a,2026-09-01 00:11:38
mer_0015,wellness,name_mismatch,PAN ('Greenline Logistics & Co') vs GST ('Greenline') -- similarity 0.58; GST ('Greenline') vs Bank ('Greenline Logistics & Co') -- similarity 0.58,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update the business name on your GST certificate to ""Greenline Logistics & Co"". We use your PAN card as the main source of truth, which already matches your bank details.",997681.4,resolved,2026-09-01 00:11:57
mer_0016,food_delivery,name_mismatch,PAN ('Nimbus Foods Enterprises') vs GST ('Nimbus') -- similarity 0.67; GST ('Nimbus') vs Bank ('Nimbus Foods Enterprises') -- similarity 0.67,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update your GST certificate so the business name matches your PAN card. Standardize all your KYC documents to use the official name, ""Nimbus Foods Enterprises.""",1078963.89,still_mismatched,2026-09-01 00:12:18
mer_0017,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1804247.47,n/a,2026-09-01 00:12:18
mer_0018,e-commerce,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1430289.85,n/a,2026-09-01 00:12:18
mer_0019,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",308008.11,n/a,2026-09-01 00:12:18
mer_0020,e-commerce,name_mismatch,PAN ('Greenline Logistics Enterprises') vs GST ('Greenline') -- similarity 0.64; GST ('Greenline') vs Bank ('Greenline Logistics Enterprises') -- similarity 0.64,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update your GST certificate so your business name matches your official PAN card. Standardize your name across all documents to **""Greenline Logistics Enterprises""**.",239015.09,resolved,2026-09-01 00:12:37
mer_0021,wellness,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",711640.08,n/a,2026-09-01 00:12:37
mer_0022,electronics,incomplete_profile,,request_missing_fields,category=incomplete_profile,SIMULATED: sent request for missing profile fields,1850367.92,n/a,2026-09-01 00:12:37
mer_0023,electronics,name_mismatch,PAN ('Amber Organics & Co') vs GST ('Amber') -- similarity 0.45; GST ('Amber') vs Bank ('Amber Organics & Co') -- similarity 0.45,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update the business name on your GST document to match your official PAN card. You need to standardize your business name as ""Amber Organics & Co"" across all your accounts.",1704956.68,still_mismatched,2026-09-01 00:12:56
mer_0024,electronics,incomplete_profile,,request_missing_fields,category=incomplete_profile,SIMULATED: sent request for missing profile fields,1581002.25,n/a,2026-09-01 00:12:56
mer_0025,wellness,document_quality_issue,,request_document_reupload,category=document_quality_issue,SIMULATED: sent document re-upload request,661529.38,n/a,2026-09-01 00:12:56
mer_0026,electronics,name_mismatch,PAN ('Nimbus Foods Pvt Ltd') vs GST ('Nimbus') -- similarity 0.67; GST ('Nimbus') vs Bank ('Nimbus Foods Pvt Ltd') -- similarity 0.67,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update your GST document to match the business name on your PAN card, ""Nimbus Foods Pvt Ltd"". You need to standardize on this exact full name across all your documents to complete verification.",412358.67,resolved,2026-09-01 00:13:15
mer_0027,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1209312.35,n/a,2026-09-01 00:13:15
mer_0028,food_delivery,missing_international_enablement,,suggest_enable_international,category=missing_international_enablement,SIMULATED: flagged merchant as eligible for international module,821782.4,n/a,2026-09-01 00:13:15
mer_0029,e-commerce,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1098387.09,n/a,2026-09-01 00:13:15
mer_0030,wellness,missing_international_enablement,,suggest_enable_international,category=missing_international_enablement,SIMULATED: flagged merchant as eligible for international module,1643353.06,n/a,2026-09-01 00:13:15
mer_0031,retail,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",581079.01,n/a,2026-09-01 00:13:15
mer_0032,e-commerce,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1286854.67,n/a,2026-09-01 00:13:15
mer_0033,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",68855.91,n/a,2026-09-01 00:13:15
mer_0034,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",298518.76,n/a,2026-09-01 00:13:15
mer_0035,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1511481.34,n/a,2026-09-01 00:13:15
mer_0036,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1614358.52,n/a,2026-09-01 00:13:15
mer_0037,retail,incomplete_profile,,request_missing_fields,category=incomplete_profile,SIMULATED: sent request for missing profile fields,1642343.88,n/a,2026-09-01 00:13:15
mer_0038,electronics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",185370.47,n/a,2026-09-01 00:13:15
mer_0039,education,missing_international_enablement,,suggest_enable_international,category=missing_international_enablement,SIMULATED: flagged merchant as eligible for international module,1926941.92,n/a,2026-09-01 00:13:15
mer_0040,education,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",420653.61,n/a,2026-09-01 00:13:15
mer_0041,wellness,missing_international_enablement,,suggest_enable_international,category=missing_international_enablement,SIMULATED: flagged merchant as eligible for international module,1703629.8,n/a,2026-09-01 00:13:15
mer_0042,retail,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",869870.35,n/a,2026-09-01 00:13:15
mer_0043,food_delivery,clean_ok,,no_action,already approved -- never re-process approved merchants,n/a,459856.24,n/a,2026-09-01 00:13:15
mer_0044,wellness,incomplete_profile,,request_missing_fields,category=incomplete_profile,SIMULATED: sent request for missing profile fields,215351.3,n/a,2026-09-01 00:13:15
mer_0045,e-commerce,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",140116.75,n/a,2026-09-01 00:13:15
mer_0046,wellness,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1407890.79,n/a,2026-09-01 00:13:15
mer_0047,electronics,name_mismatch,PAN ('Kite Studio Pvt Ltd') vs GST ('Kite') -- similarity 0.53; GST ('Kite') vs Bank ('Kite Studio Pvt Ltd') -- similarity 0.53,send_name_fix_instructions,category=name_mismatch,"FIX MESSAGE: Please update the business name on your GST document to match your PAN card. Standardize your name as ""Kite Studio Pvt Ltd"" across all your documents.",879035.08,still_mismatched,2026-09-01 00:13:44
mer_0048,electronics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",956054.31,n/a,2026-09-01 00:13:44
mer_0049,electronics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1818366.72,n/a,2026-09-01 00:13:44
mer_0050,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1272159.45,n/a,2026-09-01 00:13:44
mer_0051,retail,clean_ok,,no_action,already approved -- never re-process approved merchants,n/a,500959.89,n/a,2026-09-01 00:13:44
mer_0052,electronics,clean_ok,,no_action,already approved -- never re-process approved merchants,n/a,869279.86,n/a,2026-09-01 00:13:44
mer_0053,logistics,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",1714223.5,n/a,2026-09-01 00:13:44
mer_0054,food_delivery,clean_ok,,auto_approve,category=clean_ok,"SIMULATED: merchant auto-approved, onboarding complete",899880.15,n/a,2026-09-01 00:13:44
